TRES EN RAYA,'C/ Sangüesa, 12, 31003 Pamplona, Navarre, Spain',42.8116138,-1.6418339
TURÓSOL,'Tafalla Kalea, 31003 Pamplona, Navarre, Spain',42.8106678,-1.6398669
ULLOA ÓPTICO,'Avenida San Ignacio, 12, 31002 Pamplona, Navarre, Spain',42.8135609,-1.6430971
VAPEOS,'Calle Paulino Caballero, 49, 31004 Pamplona, Navarre, Spain',42.8099404,-1.6368929
VAPOR Y MÁS,'Calle Amaya, 26, 31004 Pamplona, Navarre, Spain',42.8118023,-1.6364986
VENTANAS GORRITI,'Calle Felipe Gorriti, 22, 31004 Pamplona, Navarre, Spain',42.8116726,-1.6366865
VIAJES MARFIL,'Avenida Carlos III, 13, 31002 Pamplona, Navarre, Spain',42.8146988,-1.6407178
VIAJES SARASATE,'Calle San Fermín, 37, 31003 Pamplona, Navarre, Spain',42.812251,-1.6386521
VILLA MIRANDA,'Calle García Castañón, 4, 31002 Pamplona, Navarre, Spain',42.8149611,-1.6441176
YVES ROCHER,'Avenida Carlos III, 55, 31003 Pamplona, Navarre, Spain',42.8114608,-1.637337
ZAPATOS CARACOL,'Calle Paulino Caballero, 46, 31004 Pamplona, Navarre, Spain',42.809711,-1.6369087
ZAPI,'Calle Navarro Villoslada, 10, 31003 Pamplona, Navarre, Spain',42.811912,-1.641269
